title,company,description,onsite_remote,salary,location,criteria,posted_date,link
National Project Coordinator-Special Nutrition project,World Vision,Nan,onsite,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Project Management and Information Technology'}, {'Industries': 'Non-profit Organizations'}]",2023-05-20,https://lk.linkedin.com/jobs/view/national-project-coordinator-special-nutrition-project-at-world-vision-3635759694?refId=dRC84qdOJt27tDin2%2BaFpA%3D%3D&trackingId=J9LAJEejSzpchKMaYutAtQ%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
"Physician Support Specialist, Surgical Oncology",University of Rochester,Nan,onsite,NaN,"Nordwood Group, Uva Province, Sri Lanka","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Health Care Provider'}, {'Industries': 'Higher Education'}]",2023-09-06,https://lk.linkedin.com/jobs/view/physician-support-specialist-surgical-oncology-at-university-of-rochester-3714027832?refId=dRC84qdOJt27tDin2%2BaFpA%3D%3D&trackingId=mi3QOyIRFtAfYdm18MN%2BYQ%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
Cook $18.50-$22/hr*,"Nugget Market, Inc.",Nan,onsite,NaN,"Galle, Southern Province, Sri Lanka","[{'Seniority level': 'Entry level'}, {'Employment type': 'Part-time'}, {'Job function': 'Management and Manufacturing'}, {'Industries': 'Retail'}]",2023-08-16,https://lk.linkedin.com/jobs/view/cook-%2418-50-%2422-hr-at-nugget-market-inc-3695177027?refId=dRC84qdOJt27tDin2%2BaFpA%3D%3D&trackingId=s379YpXw977f85nuF47I8w%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
Audit Associate,PwC,Nan,onsite,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Associate'}, {'Employment type': 'Full-time'}, {'Job function': 'Accounting/Auditing and Finance'}, {'Industries': 'Professional Services'}]",2023-07-02,https://lk.linkedin.com/jobs/view/audit-associate-at-pwc-3677052024?refId=dRC84qdOJt27tDin2%2BaFpA%3D%3D&trackingId=V%2Fb7motg3rRYkRzTCZF8Nw%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
Order to Cash (OTC) Accountant,IFS,Nan,onsite,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Executive'}, {'Employment type': 'Full-time'}, {'Job function': 'Other'}, {'Industries': 'Software Development'}]",2023-08-07,https://lk.linkedin.com/jobs/view/order-to-cash-otc-accountant-at-ifs-3686134970?refId=dRC84qdOJt27tDin2%2BaFpA%3D%3D&trackingId=VuEd7RLqxDrgiDvCG0Gt%2FQ%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
Medical Claims Follow-up Specialist,University of Rochester,Nan,onsite,NaN,"Nordwood Group, Uva Province, Sri Lanka","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Health Care Provider'}, {'Industries': 'Higher Education'}]",2023-09-07,https://lk.linkedin.com/jobs/view/medical-claims-follow-up-specialist-at-university-of-rochester-3712636273?refId=dRC84qdOJt27tDin2%2BaFpA%3D%3D&trackingId=sgeMjkH2vh9ww78lpm%2FVgQ%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
Outpatient Access Spec,University of Rochester,Nan,onsite,NaN,"Nordwood Group, Uva Province, Sri Lanka","[{'Seniority level': 'Not Applicable'}, {'Employment type': 'Full-time'}, {'Job function': 'Other'}, {'Industries': 'Higher Education'}]",2023-09-08,https://lk.linkedin.com/jobs/view/outpatient-access-spec-at-university-of-rochester-3715399570?refId=dRC84qdOJt27tDin2%2BaFpA%3D%3D&trackingId=gMtCoZRCtIyUyTS7A2hMeA%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
Talent and HR Generalist,Sydpro - Sri Lanka,Nan,onsite,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Executive'}, {'Employment type': 'Full-time'}, {'Job function': 'Human Resources'}, {'Industries': 'Outsourcing and Offshoring Consulting'}]",2023-08-22,https://lk.linkedin.com/jobs/view/talent-and-hr-generalist-at-sydpro-sri-lanka-3697136086?refId=dRC84qdOJt27tDin2%2BaFpA%3D%3D&trackingId=xWelCm6m%2FYPh74mGnA76Ow%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
Secretary IV,University of Rochester,Nan,onsite,NaN,"Nordwood Group, Uva Province, Sri Lanka","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Administrative'}, {'Industries': 'Higher Education'}]",2023-08-01,https://lk.linkedin.com/jobs/view/secretary-iv-at-university-of-rochester-3705064035?refId=dRC84qdOJt27tDin2%2BaFpA%3D%3D&trackingId=uwTYLH7eka40duX16podbA%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
VENDEDORES/AS (M/F) JD SPORTS COLOMBO SETEMBRO 2023,JD Sports Fashion,Nan,onsite,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Not Applicable'}, {'Employment type': 'Part-time'}, {'Job function': 'Other'}, {'Industries': 'Retail'}]",2023-08-18,https://lk.linkedin.com/jobs/view/vendedores-as-m-f-jd-sports-colombo-setembro-2023-at-jd-sports-fashion-3711619317?refId=W3IgqHhjs%2BaBk6rF%2FG0K6A%3D%3D&trackingId=tkFSJ5aLuhs3ks24rN0Cyw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
General Maintenance Worker,Alhambra Elementary School District,Nan,onsite,NaN,"Office Junction, Central Province, Sri Lanka","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Management and Manufacturing'}, {'Industries': 'Education Administration Programs'}]",2023-09-08,https://lk.linkedin.com/jobs/view/general-maintenance-worker-at-alhambra-elementary-school-district-3715517046?refId=W3IgqHhjs%2BaBk6rF%2FG0K6A%3D%3D&trackingId=wo9F9FBdT60%2F3z6ArtF8CQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Content Writer,CodeGen International,Nan,onsite,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Marketing, Public Relations, and Writing/Editing'}, {'Industries': 'Software Development'}]",2023-05-31,https://lk.linkedin.com/jobs/view/content-writer-at-codegen-international-3621782247?refId=W3IgqHhjs%2BaBk6rF%2FG0K6A%3D%3D&trackingId=Nwz7SJmTwvAKqdglEj%2FsoQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Work Based Learning Coordinator (CTE),Salt Lake City School District,Nan,onsite,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Entry level'}, {'Employment type': 'Internship'}, {'Job function': 'Education and Training'}, {'Industries': 'Primary and Secondary Education'}]",2023-08-08,https://lk.linkedin.com/jobs/view/work-based-learning-coordinator-cte-at-salt-lake-city-school-district-3688617246?refId=W3IgqHhjs%2BaBk6rF%2FG0K6A%3D%3D&trackingId=Op7k7WJJqVid2lOzmFND1g%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
ESPRO 034714-JOVEM APRENDIZ SANEPAR COLOMBO,Espro,Nan,onsite,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Internship'}, {'Employment type': 'Full-time'}, {'Job function': 'Management and Manufacturing'}, {'Industries': 'Philanthropic Fundraising Services'}]",2023-09-05,https://lk.linkedin.com/jobs/view/espro-034714-jovem-aprendiz-sanepar-colombo-at-espro-3710649161?refId=W3IgqHhjs%2BaBk6rF%2FG0K6A%3D%3D&trackingId=zDco1bDVVPvpsh25uB0CpA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
Talent and HR Generalist,Sydpro - Sri Lanka,Nan,onsite,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Executive'}, {'Employment type': 'Full-time'}, {'Job function': 'Human Resources'}, {'Industries': 'Outsourcing and Offshoring Consulting'}]",2023-08-22,https://lk.linkedin.com/jobs/view/talent-and-hr-generalist-at-sydpro-sri-lanka-3697136086?refId=W3IgqHhjs%2BaBk6rF%2FG0K6A%3D%3D&trackingId=vfxBAvKlS3Hv2sqGRyn54A%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
Country Manager - Sri Lanka,International Water Management Institute (IWMI),Nan,onsite,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Sales and Business Development'}, {'Industries': 'Technology, Information and Internet'}]",2023-08-15,https://lk.linkedin.com/jobs/view/country-manager-sri-lanka-at-international-water-management-institute-iwmi-3694895806?refId=W3IgqHhjs%2BaBk6rF%2FG0K6A%3D%3D&trackingId=UBQG5uZSA%2BUGrgl13q%2Fj%2Bw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Commis Chef - Beer House,RHR,Nan,onsite,NaN,"Glasgow State, Central Province, Sri Lanka","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Management and Manufacturing'}, {'Industries': 'Staffing and Recruiting'}]",2023-08-29,https://lk.linkedin.com/jobs/view/commis-chef-beer-house-at-rhr-3704089915?refId=W3IgqHhjs%2BaBk6rF%2FG0K6A%3D%3D&trackingId=ubb82IqhsGXlHEWI2ydiTw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Project Coordinator,CodeGen International,Nan,onsite,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Other'}, {'Industries': 'Software Development'}]",2023-05-31,https://lk.linkedin.com/jobs/view/project-coordinator-at-codegen-international-3621782243?refId=W3IgqHhjs%2BaBk6rF%2FG0K6A%3D%3D&trackingId=7BpTkYu339G9VRN%2F1ZBUtg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
Country Head,On Device Solutions Ltd.,Nan,onsite,NaN,"Mount Lavinia, Western Province, Sri Lanka","[{'Seniority level': 'Director'}, {'Employment type': 'Full-time'}, {'Job function': 'Business Development and Sales'}, {'Industries': 'Information Services and Software Development'}]",2023-05-16,https://lk.linkedin.com/jobs/view/country-head-at-on-device-solutions-ltd-3606456080?refId=W3IgqHhjs%2BaBk6rF%2FG0K6A%3D%3D&trackingId=KhnwAJ%2FEuRLT5JyGLPqp1g%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
Packaging Supervisor,Jobskey Search and Selection,Nan,onsite,NaN,"Western Province, Sri Lanka","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Management and Manufacturing'}, {'Industries': 'Staffing and Recruiting'}]",2023-04-09,https://lk.linkedin.com/jobs/view/packaging-supervisor-at-jobskey-search-and-selection-3597755565?refId=W3IgqHhjs%2BaBk6rF%2FG0K6A%3D%3D&trackingId=5F8L%2FTPsukHF013Ct%2FQ2pQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
Site Engineer,Global HR Solutions (Pvt) Ltd,Nan,onsite,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Construction, Leasing Non-residential Real Estate, and Facilities Services'}]",2023-08-28,https://lk.linkedin.com/jobs/view/site-engineer-at-global-hr-solutions-pvt-ltd-3702357996?refId=W3IgqHhjs%2BaBk6rF%2FG0K6A%3D%3D&trackingId=kdhoVcWQrojphUpVCuQtDw%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
Videographer/Photographer Urgent Hiring for Qatar office,Record on Studio,Nan,onsite,"LKR1,440,000.00
            -
            LKR1,680,000.00","Gampaha, Western Province, Sri Lanka","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Marketing, Public Relations, and Writing/Editing'}, {'Industries': 'Advertising Services, Online Audio and Video Media, and Book and Periodical Publishing'}]",2023-05-05,https://lk.linkedin.com/jobs/view/videographer-photographer-urgent-hiring-for-qatar-office-at-record-on-studio-3597006860?refId=W3IgqHhjs%2BaBk6rF%2FG0K6A%3D%3D&trackingId=sqthGZ5E%2BiKPKKvkU9TpNA%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
Senior Executive - HR & Operations,CodeGen International,Nan,onsite,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Human Resources'}, {'Industries': 'Software Development'}]",2023-08-22,https://lk.linkedin.com/jobs/view/senior-executive-hr-operations-at-codegen-international-3697107909?refId=W3IgqHhjs%2BaBk6rF%2FG0K6A%3D%3D&trackingId=JwHhcwUYF%2F06NXW0lsjaxA%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
Assistant Manager - Category Quality Assurance,Unilever,Nan,onsite,NaN,"Horana South, Western Province, Sri Lanka","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Distribution and Supply Chain'}, {'Industries': 'Food and Beverage Services, Food and Beverage Manufacturing, and Manufacturing'}]",2023-09-11,https://lk.linkedin.com/jobs/view/assistant-manager-category-quality-assurance-at-unilever-3714184375?refId=W3IgqHhjs%2BaBk6rF%2FG0K6A%3D%3D&trackingId=uKwlGFHyIcTcqQwJJt%2FNQA%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
Project Managers,CodeGen International,Nan,onsite,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Project Management and Information Technology'}, {'Industries': 'Software Development'}]",2023-05-31,https://lk.linkedin.com/jobs/view/project-managers-at-codegen-international-3621778845?refId=W3IgqHhjs%2BaBk6rF%2FG0K6A%3D%3D&trackingId=TChfZYP9bIcnlbpp3jIFDA%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
"General Manager - Amangalla, Sri Lanka",AMAN,Nan,onsite,NaN,"Galle, Southern Province, Sri Lanka","[{'Seniority level': 'Executive'}, {'Employment type': 'Full-time'}, {'Job function': 'Management and Manufacturing'}, {'Industries': 'Hospitality'}]",2023-09-13,https://lk.linkedin.com/jobs/view/general-manager-amangalla-sri-lanka-at-aman-3704931572?refId=W3IgqHhjs%2BaBk6rF%2FG0K6A%3D%3D&trackingId=YfWLZYrGZX5zZZxK37dK9g%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
Accounting Bookkeeper IV,University of Rochester,Nan,onsite,NaN,"Nordwood Group, Uva Province, Sri Lanka","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Accounting/Auditing and Finance'}, {'Industries': 'Higher Education'}]",2023-08-01,https://lk.linkedin.com/jobs/view/accounting-bookkeeper-iv-at-university-of-rochester-3705085644?refId=W3IgqHhjs%2BaBk6rF%2FG0K6A%3D%3D&trackingId=s%2FxMy%2B8jkZbwZIAABEW9yg%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
Head ILETS Operations,IDP Education Ltd,Nan,onsite,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Management and Manufacturing'}, {'Industries': 'Education Administration Programs'}]",2023-05-12,https://lk.linkedin.com/jobs/view/head-ilets-operations-at-idp-education-ltd-3627310175?refId=W3IgqHhjs%2BaBk6rF%2FG0K6A%3D%3D&trackingId=UGydLR92Y0iaQ1V7Vk3KPQ%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
Part Time - Social Media Executive,MOSIACHR PEO (Private) Limited,Nan,onsite,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Marketing and Sales'}, {'Industries': 'Outsourcing/Offshoring'}]",2023-09-12,https://lk.linkedin.com/jobs/view/part-time-social-media-executive-at-mosiachr-peo-private-limited-3714632520?refId=W3IgqHhjs%2BaBk6rF%2FG0K6A%3D%3D&trackingId=8qJOJK7NI14RlI5c4uiqHA%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
Junior Global Payroll Support,IFS,Nan,onsite,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Human Resources'}, {'Industries': 'Software Development'}]",2023-08-09,https://lk.linkedin.com/jobs/view/junior-global-payroll-support-at-ifs-3708840215?refId=W3IgqHhjs%2BaBk6rF%2FG0K6A%3D%3D&trackingId=XkfHLGARr69cO%2BEIrXXQ2Q%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
Business Analysts,CodeGen International,Nan,onsite,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Research, Analyst, and Information Technology'}, {'Industries': 'Software Development'}]",2023-05-31,https://lk.linkedin.com/jobs/view/business-analysts-at-codegen-international-3621779744?refId=W3IgqHhjs%2BaBk6rF%2FG0K6A%3D%3D&trackingId=vYx2YUZXX3m3azsiE%2FEQoA%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
Virtual Assistant,The Conscious Consultancy (TCC) 🌐,Nan,onsite,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Associate'}, {'Employment type': 'Full-time'}, {'Job function': 'Administrative'}, {'Industries': 'Technology, Information and Internet'}]",2023-08-09,https://lk.linkedin.com/jobs/view/virtual-assistant-at-the-conscious-consultancy-tcc-%F0%9F%8C%90-3689175453?refId=W3IgqHhjs%2BaBk6rF%2FG0K6A%3D%3D&trackingId=dKghNUdTTiJJ4OouyuTTZA%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
SALES EXECUTIVE – SOLAR,OREL Corporation,Nan,onsite,NaN,"Colombo, Western Province, Sri Lanka",[{'Employment type': 'Full-time'}],2023-09-08,https://lk.linkedin.com/jobs/view/sales-executive-%E2%80%93-solar-at-orel-corporation-3708173893?refId=W3IgqHhjs%2BaBk6rF%2FG0K6A%3D%3D&trackingId=PKhgJO353c6VpO8Cu9Ji9A%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
Sales Executive,CodeGen International,Nan,onsite,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Sales and Business Development'}, {'Industries': 'Software Development'}]",2023-05-31,https://lk.linkedin.com/jobs/view/sales-executive-at-codegen-international-3621778887?refId=W3IgqHhjs%2BaBk6rF%2FG0K6A%3D%3D&trackingId=OxTf075%2F9TqXGh4A30ItWQ%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
Brand Executive,Fonterra,Nan,onsite,NaN,"Western Province, Sri Lanka","[{'Seniority level': 'Associate'}, {'Employment type': 'Contract'}, {'Job function': 'Marketing'}, {'Industries': 'Dairy Product Manufacturing and Food and Beverage Manufacturing'}]",2023-09-08,https://lk.linkedin.com/jobs/view/brand-executive-at-fonterra-3714786146?refId=IzJrhdl0WbnCCjCEG3IOfQ%3D%3D&trackingId=I2CPkeSYDUBYXpHZ3Fb9WQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
General Maintenance Worker,Alhambra Elementary School District,Nan,onsite,NaN,"Office Junction, Central Province, Sri Lanka","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Management and Manufacturing'}, {'Industries': 'Education Administration Programs'}]",2023-09-08,https://lk.linkedin.com/jobs/view/general-maintenance-worker-at-alhambra-elementary-school-district-3715517046?refId=IzJrhdl0WbnCCjCEG3IOfQ%3D%3D&trackingId=F5qv0PuE3dDHntPvzMC0QQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Content Writer,CodeGen International,Nan,onsite,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Marketing, Public Relations, and Writing/Editing'}, {'Industries': 'Software Development'}]",2023-05-31,https://lk.linkedin.com/jobs/view/content-writer-at-codegen-international-3621782247?refId=IzJrhdl0WbnCCjCEG3IOfQ%3D%3D&trackingId=hElQ27D3k9XsjXkytXYsHg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Work Based Learning Coordinator (CTE),Salt Lake City School District,Nan,onsite,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Entry level'}, {'Employment type': 'Internship'}, {'Job function': 'Education and Training'}, {'Industries': 'Primary and Secondary Education'}]",2023-08-08,https://lk.linkedin.com/jobs/view/work-based-learning-coordinator-cte-at-salt-lake-city-school-district-3688617246?refId=IzJrhdl0WbnCCjCEG3IOfQ%3D%3D&trackingId=7qGm7egXzdOSEgweUicGng%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
VENDEDORES/AS (M/F) JD SPORTS COLOMBO SETEMBRO 2023,JD Sports Fashion,Nan,onsite,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Not Applicable'}, {'Employment type': 'Part-time'}, {'Job function': 'Other'}, {'Industries': 'Retail'}]",2023-08-18,https://lk.linkedin.com/jobs/view/vendedores-as-m-f-jd-sports-colombo-setembro-2023-at-jd-sports-fashion-3711619317?refId=IzJrhdl0WbnCCjCEG3IOfQ%3D%3D&trackingId=YMON2jI%2Bu4EFx6YzRsGc5w%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
ESPRO 034714-JOVEM APRENDIZ SANEPAR COLOMBO,Espro,Nan,onsite,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Internship'}, {'Employment type': 'Full-time'}, {'Job function': 'Management and Manufacturing'}, {'Industries': 'Philanthropic Fundraising Services'}]",2023-09-05,https://lk.linkedin.com/jobs/view/espro-034714-jovem-aprendiz-sanepar-colombo-at-espro-3710649161?refId=IzJrhdl0WbnCCjCEG3IOfQ%3D%3D&trackingId=MyHTGBNRwfzjOQ9d%2F3ue1Q%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
Talent and HR Generalist,Sydpro - Sri Lanka,Nan,onsite,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Executive'}, {'Employment type': 'Full-time'}, {'Job function': 'Human Resources'}, {'Industries': 'Outsourcing and Offshoring Consulting'}]",2023-08-22,https://lk.linkedin.com/jobs/view/talent-and-hr-generalist-at-sydpro-sri-lanka-3697136086?refId=IzJrhdl0WbnCCjCEG3IOfQ%3D%3D&trackingId=1uRoCpIorMiVIhztyOnQEw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Country Manager - Sri Lanka,International Water Management Institute (IWMI),Nan,onsite,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Sales and Business Development'}, {'Industries': 'Technology, Information and Internet'}]",2023-08-15,https://lk.linkedin.com/jobs/view/country-manager-sri-lanka-at-international-water-management-institute-iwmi-3694895806?refId=IzJrhdl0WbnCCjCEG3IOfQ%3D%3D&trackingId=dwIHk%2BLjrImqCGmPhWucnQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Commis Chef - Beer House,RHR,Nan,onsite,NaN,"Glasgow State, Central Province, Sri Lanka","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Management and Manufacturing'}, {'Industries': 'Staffing and Recruiting'}]",2023-08-29,https://lk.linkedin.com/jobs/view/commis-chef-beer-house-at-rhr-3704089915?refId=IzJrhdl0WbnCCjCEG3IOfQ%3D%3D&trackingId=XX4xe70p5EYpA%2FviSpqsjA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
Project Coordinator,CodeGen International,Nan,onsite,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Other'}, {'Industries': 'Software Development'}]",2023-05-31,https://lk.linkedin.com/jobs/view/project-coordinator-at-codegen-international-3621782243?refId=IzJrhdl0WbnCCjCEG3IOfQ%3D%3D&trackingId=okfrhA4O4lELzwxAMHLgQw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
Country Head,On Device Solutions Ltd.,Nan,onsite,NaN,"Mount Lavinia, Western Province, Sri Lanka","[{'Seniority level': 'Director'}, {'Employment type': 'Full-time'}, {'Job function': 'Business Development and Sales'}, {'Industries': 'Information Services and Software Development'}]",2023-05-16,https://lk.linkedin.com/jobs/view/country-head-at-on-device-solutions-ltd-3606456080?refId=IzJrhdl0WbnCCjCEG3IOfQ%3D%3D&trackingId=e8RdTF%2BP4uDhGVViBTxPlw%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
Packaging Supervisor,Jobskey Search and Selection,Nan,onsite,NaN,"Western Province, Sri Lanka","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Management and Manufacturing'}, {'Industries': 'Staffing and Recruiting'}]",2023-04-09,https://lk.linkedin.com/jobs/view/packaging-supervisor-at-jobskey-search-and-selection-3597755565?refId=IzJrhdl0WbnCCjCEG3IOfQ%3D%3D&trackingId=ZWFWU5q5WZGfXroaBvhEZA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
Site Engineer,Global HR Solutions (Pvt) Ltd,Nan,onsite,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Construction, Leasing Non-residential Real Estate, and Facilities Services'}]",2023-08-28,https://lk.linkedin.com/jobs/view/site-engineer-at-global-hr-solutions-pvt-ltd-3702357996?refId=IzJrhdl0WbnCCjCEG3IOfQ%3D%3D&trackingId=btv3tWHlm8yP5ALVJzQufg%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
Videographer/Photographer Urgent Hiring for Qatar office,Record on Studio,Nan,onsite,"LKR1,440,000.00
            -
            LKR1,680,000.00","Gampaha, Western Province, Sri Lanka","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Marketing, Public Relations, and Writing/Editing'}, {'Industries': 'Advertising Services, Online Audio and Video Media, and Book and Periodical Publishing'}]",2023-05-05,https://lk.linkedin.com/jobs/view/videographer-photographer-urgent-hiring-for-qatar-office-at-record-on-studio-3597006860?refId=IzJrhdl0WbnCCjCEG3IOfQ%3D%3D&trackingId=1E%2BB0yqqLB91iqslR%2FqP6g%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
Senior Executive - HR & Operations,CodeGen International,Nan,onsite,NaN,"Colombo, Western Province, Sri Lanka","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Human Resources'}, {'Industries': 'Software Development'}]",2023-08-22,https://lk.linkedin.com/jobs/view/senior-executive-hr-operations-at-codegen-international-3697107909?refId=IzJrhdl0WbnCCjCEG3IOfQ%3D%3D&trackingId=CvhP2CUIJaXor6FjdGhWKw%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
